,employer,rating_description,culture,leadership,compensation,opportunity,balance,industry,location,size,overall_rating,ceo_approval,num_votes,main industry
7434,Greene Resources,OK,2.7,2.7,2.3,2.8,2.2,Staffing & Outsourcing,NC,16,2.8,70,3,Service
7435,Tishman,Satisfied,3.1,3,3.5,3.5,3.1,Construction,NY,16,3.7,80,11,Real Estate
7436,Cequint,OK,3,2.9,2.9,2.7,3.5,Computer Hardware & Software,WA,16,2.9,0,0,IT
7437,Houston Zoo,OK,3.9,2.7,3.3,3,3.2,Sports & Recreation,TX,16,3.3,74,14,Entertainment
7438,Sales Partnerships,OK,3.3,2.7,2.4,2.5,3.2,Consulting,CO,16,2.7,65,11,Service
7439,Gotham Technology Group,OK,3,2.7,3,2.6,3.2,IT Services,NY,16,3,50,10,IT
7440,CCS-Inc,OK,3.4,2.4,3.3,2.5,3.2,Computer Hardware & Software,VA,16,3.1,51,6,IT
7441,Electric Guard Dog,Very Satisfied,4.7,4.6,4.4,4.5,4.5,Security Services,SC,16,4.7,100,14,Finance
7442,Archstone Consulting,Satisfied,4.5,3.1,3.2,3.5,3.8,Consulting,CA,16,3.6,0,0,Service
7443,Choctaw Casino and Resorts,OK,2.6,2.5,3.1,3.1,3,Gambling,OK,16,3.1,66,6,Entertainment
7444,SatCom Marketing,Satisfied,4,3.9,3.3,3.9,3.5,Advertising & Marketing,MN,16,3.9,100,9,Advertising
7445,Cone LLC,Satisfied,3.4,3.8,2.8,3.4,3.3,Advertising & Marketing,MA,16,3.6,82,10,Advertising
7446,Weed Man,OK,3.2,3.1,2.8,3,3.6,Advertising & Marketing,MI,16,3.3,84,6,Advertising
7447,Vision Technologies,OK,3,2.6,3.2,2.6,3,Computer Hardware & Software,MD,16,2.7,46,9,IT
7448,Savoya,Satisfied,3.7,3.5,3.9,3.5,3.6,Advertising & Marketing,TX,16,3.7,76,12,Advertising
7449,ContentLEAD,OK,3.2,3,2.2,3.2,2.8,Accounting,AZ,16,3.1,83,6,Accounting
7450,"HNW, Inc",Dissatisfied,1.6,1.6,2.7,2,2.6,Investment Banking & Asset Management,NY,16,2.2,35,3,Finance
7451,nCircle,OK,1.6,3,3.8,3,4,Computer Hardware & Software,CA,16,3.3,53,13,IT
7452,Victor Treatment Centers,Dissatisfied,2.3,2.1,2.3,2.6,2.1,Social Assistance,CA,16,2,13,5,Service
7453,PrintGlobe,Satisfied,4.2,3.7,3.4,3.3,4,Advertising & Marketing,TX,16,3.8,84,7,Advertising
7454,Brookdale University Hospital,OK,3.6,2.8,3.3,2.6,3.3,Health Care Services & Hospitals,NY,16,3.2,63,5,Health
7455,FreeWave Technologies,Dissatisfied,1.9,2.1,2.8,2.1,3,Consumer Products Manufacturing,CO,16,2,24,9,Manufacture
7456,XIFIN,OK,3.5,3.4,3.4,3.4,3.3,Computer Hardware & Software,CA,16,3.3,78,15,IT
7457,NetMotion,OK,2.8,2.3,3.2,2.7,3.9,Computer Hardware & Software,WA,16,2.8,0,0,IT
7458,Southwest Ambulance,Very Dissatisfied,1.3,1.1,1.4,1.6,1.4,Transportation Management,AZ,16,1.3,0,9,Logistics
7459,Medical Consultants Network,OK,3.5,3,2.7,2.9,3.2,Consulting,WA,16,3.4,58,7,Service
7460,Nilfisk-Advance,OK,3,2.5,2.8,2.3,3,Consumer Products Manufacturing,AR,16,2.9,76,11,Manufacture
7461,AGC,Dissatisfied,2,1.9,2.6,2,2.8,Metal & Mineral Manufacturing,GA,16,2.3,33,3,Manufacture
7462,Lewan & Associates,OK,3,2.2,2.5,2.3,3,Computer Hardware & Software,CO,16,2.6,32,13,IT
7463,Liberator Medical Supply,OK,2.4,3.1,3.2,2.5,2.9,Other Retail Stores,FL,16,2.7,19,5,Retail
7464,Colonial Pipeline,OK,3.4,2.8,3.3,3.5,3.2,Oil & Gas Services,GA,16,3.1,68,13,Service
7465,Moelis & Co.,OK,2.8,3,3.7,3.2,2,Investment Banking & Asset Management,NY,16,2.7,100,2,Finance
7466,USA Mobility,OK,3.2,2.8,3.6,1.9,3.7,"Cable, Internet & Telephone Providers",TX,16,3,56,7,IT
7467,Fong & Chan Architects,Satisfied,3.7,3.7,4.2,3.7,3.7,Architectural & Engineering Services,CA,16,3.9,84,6,Service
7468,Seaton Corp,OK,1.9,2.7,2.4,2.7,2.7,Consulting,MS,16,2.7,56,10,Service
7469,Onyx Brands,Dissatisfied,2.3,2,2.4,2.1,2.1,Consumer Products Manufacturing,AR,16,2,28,14,Manufacture
7470,Brixx Wood Fired Pizza,Satisfied,3.7,3.3,3.2,3.5,3.8,Fast-Food & Quick-Service Restaurants,NC,16,3.9,82,6,Service
7471,eXelate,Satisfied,3.9,3.4,3.6,3.5,3.7,Internet,NY,16,3.9,82,16,IT
7472,Home Properties,OK,3,2.5,3,2.7,3,Real Estate,MD,16,2.8,79,6,Real Estate
7473,Perspective Advertising,Very Satisfied,4.8,4.8,4.2,4.6,4.3,Accounting,MI,16,4.4,100,9,Accounting
7474,Octa,Satisfied,3.5,3.1,3.6,2.6,4.3,Bus Transportation Services,CA,16,3.5,52,4,Service
7475,MDC Holdings,OK,2.9,2.6,2.8,2.8,3.1,Construction,CO,16,2.7,29,11,Real Estate
7476,Shoprite Group,Dissatisfied,3,2.4,2.5,2.2,3.1,Vehicle Dealers,NJ,16,2.2,76,7,Retail
7477,AMSEC,OK,2.7,2.1,3.2,3,3.1,Transportation Equipment Manufacturing,VA,16,3.2,76,7,Manufacture
7478,Campbell Mithun,OK,3.9,3.1,3.3,3.2,4,Advertising & Marketing,MN,16,3.2,100,7,Advertising
7479,Turnkey Auto Group,Very Satisfied,4,4,4.1,4.1,4.1,Insurance Carriers,TX,16,4.2,50,4,Finance
7480,Waymouth Farms,Dissatisfied,1.7,1.7,2.4,2,2.4,Food & Beverage Manufacturing,MN,16,1.8,26,16,Retail
7481,BroadVision,OK,3.2,2.8,3,3.3,3.9,Enterprise Software & Network Solutions,CA,16,3.1,63,13,IT
7482,Design Reactor,OK,3.4,2.9,2.7,3.1,2.7,Advertising & Marketing,CA,16,3.3,51,15,Advertising
7483,Perception Research Services,OK,2.6,2.7,3.2,2.9,3,Research & Development,NJ,16,3,41,5,Research
7484,CareMore,OK,3.4,3.3,3.4,2.9,3.3,Biotech & Pharmaceuticals,CA,16,3.4,100,5,Health
7485,MTA Metro North Railroad,OK,2.6,2.8,3.7,3.2,3.5,Transportation Management,NY,16,3.2,50,4,Logistics
7486,AvMed Health Plans,OK,2.4,2.2,3,2.1,2.7,Insurance Carriers,FL,16,2.5,33,12,Finance
7487,TriTek Solutions,Very Satisfied,4,4.2,3.8,4,4.3,Computer Hardware & Software,VA,16,4.3,100,3,IT
7488,Smith & Nephew Endoscopy,OK,3.3,2.7,3.2,2.9,3.3,Health Care Products Manufacturing,TN,16,3,69,3,Health
7489,Public Health Institute,Satisfied,3.8,3.6,3.5,3.5,3.9,Accounting,CA,16,4,88,8,Accounting
7490,InterSolutions,OK,3,3,2.4,2.6,3.2,Advertising & Marketing,MD,16,3,84,6,Advertising
7491,Quanex Building Products,OK,3,2.6,3.4,3.1,3.4,Industrial Manufacturing,WI,16,3.3,74,4,Manufacture
7492,Gabriels Technology Solutions,OK,2.4,2.8,2.5,2.6,3.1,Accounting,NY,16,2.6,47,6,Accounting
7493,Pressler & Pressler,Dissatisfied,1.6,1.4,2.3,1.5,2.9,Legal,NJ,16,1.8,10,7,Others
7494,DataLab USA,Satisfied,3.7,3.4,3.8,3.8,3.2,IT Services,MD,16,3.6,100,9,IT
7495,Kurtzman Carson Consultants,OK,3.3,2.3,2.9,2.3,3.4,Legal,CA,16,2.6,29,7,Others
7496,Afscme,OK,3.1,2.8,3.5,2.2,2.9,Membership Organizations,WI,16,2.9,76,6,Others
7497,SecurityMetrics,Very Satisfied,4.3,3.9,3.6,3.4,4.3,Security Services,UT,16,4.1,94,14,Finance
7498,Novum Pharmaceutical Research Services,Dissatisfied,1.9,1.9,2.7,2.2,2.8,Research & Development,NV,16,2,49,4,Research
7499,Direct Sales Force (Pareto),Dissatisfied,2.4,1.7,2.3,2.9,2.3,Advertising & Marketing,CA,16,2.3,49,4,Advertising
7500,First Busey,Satisfied,3.3,3.3,2.8,3.5,3.6,Banks & Credit Unions,IL,16,3.6,92,8,Finance
7501,Taylor Morrison,OK,3,2.6,3.5,2.9,2.4,Construction,FL,16,3,49,8,Real Estate
7502,Culinary Institute,Satisfied,3.7,2.6,2.8,3.3,3.1,Colleges & Universities,CA,16,3.8,64,10,Education
7503,Blue Chip Endeavors,Very Satisfied,4.5,4.3,3.8,4.2,3.8,Advertising & Marketing,MI,16,4.2,93,13,Advertising
7504,Roubini Global Economics,OK,3.2,2.4,2.3,2.4,3.4,Internet,NY,16,3.1,52,8,IT
7505,Hill-Rom Holdings,OK,2.7,2.5,3.6,2.7,3.1,Health Care Products Manufacturing,IN,16,2.7,51,4,Health
7506,Design Forum,OK,2.5,2.1,3.1,2.8,2.7,Advertising & Marketing,OH,16,2.7,78,11,Advertising
7507,Wisdom Executives,OK,4.2,4.4,2.9,3.9,2.8,Advertising & Marketing,MN,16,3.4,83,12,Advertising
7508,MilwaukeeJobs.com,Very Satisfied,4.5,4.3,4.9,4.3,3.9,Staffing & Outsourcing,WI,16,4.5,89,9,Service
7509,Quality Systems,Dissatisfied,1.9,2,2.8,2.3,2.4,Computer Hardware & Software,AL,16,2.2,67,9,IT
7510,Rising Medical Solutions,Very Satisfied,4.5,3.9,3,3.8,4.4,Health Care Services & Hospitals,IL,16,4.1,92,13,Health
7511,Ignited,OK,3.1,2.2,2.7,2.6,3.1,Advertising & Marketing,CA,16,3.1,58,10,Advertising
7512,Infinite Campus,Very Satisfied,4.6,3.9,3.7,3.6,4.7,Computer Hardware & Software,MN,16,4.2,93,14,IT
7513,SALT Group,Satisfied,3.8,3.9,3.8,3.6,3.9,Consulting,TX,16,3.9,79,13,Service
7514,Buck Institute,OK,3.1,2.3,2.6,2.9,3.3,Biotech & Pharmaceuticals,CA,16,2.9,47,10,Health
7515,Westlake Chemical,Satisfied,3.6,3.6,3.6,3.7,3.6,Chemical Manufacturing,LA,16,3.8,92,12,Manufacture
7516,Enterprise Fleet Management,Satisfied,4.2,3,3.5,3.2,3.1,Commercial Equipment Rental,MA,16,3.5,84,7,Service
7517,Cabot Microelectronics,Satisfied,3.8,3.5,3.9,3.1,4.3,Electrical & Electronic Manufacturing,IL,16,3.8,78,14,Manufacture
7518,Vanderlande Industries,OK,2.5,2.3,3,2.7,2.8,Federal Agencies,GA,16,2.6,66,4,Government
7519,Fitness Formula Clubs,OK,3.4,3,3.3,2.9,2.4,Sports & Recreation,IL,16,3.1,78,8,Entertainment
7520,Universal Music Publishing,OK,3.5,3,3.4,2.2,3.2,Music Production & Distribution,NJ,16,3.2,79,7,Media
7521,MTC,OK,2.7,3.1,3.2,2.9,3.7,Industrial Manufacturing,UT,16,3.4,62,5,Manufacture
7522,Garland Independent School District,OK,3.2,2.9,3,3.2,3.2,Preschool & Child Care,TX,16,3.4,83,8,Service
7523,maxIT,OK,2.7,2.7,3.2,2.4,2.6,Consulting,GA,16,2.8,79,7,Service
7524,Dominium,Satisfied,3.5,3.6,3.3,3.4,3.7,Commercial Equipment Rental,MN,16,3.6,78,5,Service
7525,San Manuel Indian Bingo & Casino,Satisfied,3.8,3,4.3,3.1,3.1,Gambling,CA,16,3.7,100,2,Entertainment
7526,Bethune-Cookman University,OK,4.2,2.9,2.6,2.6,3.1,Colleges & Universities,FL,15,3.3,58,10,Education
7527,ECFMG,Satisfied,3.8,3.7,4.2,3,4.4,Electrical & Electronic Manufacturing,PA,15,3.9,100,5,Manufacture
7528,"Accela, Inc.",OK,3.3,3.1,3.2,3.2,3.9,Computer Hardware & Software,CA,15,3.3,73,7,IT
7529,Client Solution Architects,Very Satisfied,4.6,4.4,4.5,4.4,4.3,Consulting,CA,15,4.4,100,10,Service
7530,UniWorld Group,Dissatisfied,2.3,2.1,3.1,2.2,2.6,Advertising & Marketing,NY,15,2.4,19,5,Advertising
7531,Strada Capital Corporation,Very Satisfied,4.3,4.4,3.6,4.4,4.4,Lending,CA,15,4.6,100,14,Finance
7532,Advertising Outsourcing Services,Dissatisfied,1.9,1.7,1.9,1.8,1.6,Advertising & Marketing,PA,15,1.8,19,11,Advertising
7533,Hunton & Williams,OK,3.4,3.1,3.8,2.8,3.2,Legal,NY,15,3.2,85,7,Others
7534,Knorr-Bremse Group,OK,3.2,2.7,3.2,2.7,3.5,Transportation Equipment Manufacturing,OH,15,3,0,0,Manufacture
7535,LYRASIS,OK,3,2.5,3.3,2.9,3.8,Social Assistance,GA,15,3,73,9,Service
7536,Chemical Bank,Satisfied,3.6,3.3,2.7,3,4.3,Investment Banking & Asset Management,MI,15,3.6,100,3,Finance
7537,Asset Management Specialists,Dissatisfied,2,2.3,2.2,2.2,3,Real Estate,PA,15,2.4,0,1,Real Estate
7538,Innotec,OK,3.8,2.9,2.1,2.8,2.2,Electrical & Electronic Manufacturing,MI,15,3,44,5,Manufacture
7539,Dealer Online Marketing,Very Satisfied,4.4,4.3,3.5,4.4,4.1,Accounting,SC,15,4.5,100,4,Accounting
7540,Midway Games,OK,3.1,2.2,3,3.2,3.2,Video Games,IL,15,2.9,62,2,IT
7541,Precision IT Group,Satisfied,4.4,4,4.3,4.4,4.3,IT Services,NY,15,4,0,1,IT
7542,Key Food,OK,2.9,2.4,2.5,2,3.6,Vehicle Dealers,NY,15,3,63,3,Retail
7543,NEI Global Relocation,Satisfied,4.3,4,2.9,3.6,3.6,Building & Personnel Services,NE,15,3.6,100,7,Service
7544,Mintz Levin,Satisfied,3.1,3.2,3.6,3.1,3.8,Legal,NY,15,3.5,89,11,Others
7545,R.J. O'Brien,OK,3.5,2.9,2.8,2.8,3.4,Brokerage Services,IL,15,3,63,11,Service
7546,Nexans,OK,2.7,2.5,3.4,3,3.4,Metal & Mineral Manufacturing,PA,15,2.8,42,8,Manufacture
7547,Senvoy,Dissatisfied,1.9,1.9,1.9,2,2.2,Transportation Management,OR,15,1.8,21,5,Logistics
7548,Ferguson Consulting,Satisfied,4.2,3.8,3.9,3.9,4.2,IT Services,MO,15,3.9,67,9,IT
7549,Top Guard Security,OK,2.9,2.7,2.3,2.5,3.2,Security Services,VA,15,2.6,56,9,Finance
7550,GFT,OK,2.8,2.3,3.4,2.5,2.9,Brokerage Services,AZ,15,2.9,52,13,Service
7551,Monsoon Commerce,OK,3.5,2.7,3.5,2.8,4.1,Computer Hardware & Software,OR,15,3.2,100,1,IT
7552,Malwarebytes,Very Satisfied,4.3,4.1,3.8,4,4.7,Computer Hardware & Software,CA,15,4.3,77,14,IT
7553,Dudnyk,Satisfied,1.6,3.4,3.8,3.5,4,Advertising & Marketing,PA,15,3.5,33,3,Advertising
7554,Marrone Bio Innovations,Dissatisfied,2.4,2,2.4,2.2,3,Chemical Manufacturing,CA,15,2,27,7,Manufacture
7555,MET Laboratories,Dissatisfied,2.7,1.8,2.3,1.7,3.2,"Cable, Internet & Telephone Providers",MD,15,1.9,45,11,IT
7556,OpenWorks,Satisfied,3.7,3.7,3.8,3.8,3.7,Building & Personnel Services,AZ,15,3.8,74,14,Service
7557,Westaff,OK,3,2.6,2.6,3.3,3.1,Advertising & Marketing,MI,15,3.1,61,3,Advertising
7558,Silicon Valley Microelectronics,Very Satisfied,4.6,4.4,4.2,4.4,4.4,Electrical & Electronic Manufacturing,CA,15,4.2,85,13,Manufacture
7559,Virtuoso,OK,3,2.1,2.9,2.6,3.2,Travel Agencies,TX,15,2.6,55,9,Service
7560,PeopleAnswers,Satisfied,4.3,3.6,3.5,3.1,3.8,Computer Hardware & Software,TX,15,3.7,100,10,IT
7561,Wackenhut Services,OK,2.5,2.8,3.5,2.7,2.6,Security Services,GA,15,3.2,64,5,Finance
7562,sweetFrog,Dissatisfied,2.6,2.2,1.9,2.4,2.7,Fast-Food & Quick-Service Restaurants,VA,15,2.4,51,6,Service
7563,Sulzer Pumps,OK,3.6,2.7,3.5,3.1,3.2,Industrial Manufacturing,IL,15,3.3,0,0,Manufacture
7564,Hartz Mountain,Dissatisfied,2.1,1.9,2.5,1.9,2.9,Consumer Products Manufacturing,NJ,15,2.2,0,6,Manufacture
7565,Okland Construction,Satisfied,4.3,3.8,3.6,3,3.6,Construction,UT,15,3.9,100,9,Real Estate
7566,Airware,Very Satisfied,4.7,4.5,4.2,4.5,3.5,Computer Hardware & Software,CA,15,4.7,94,15,IT
7567,Amscan,Dissatisfied,2.4,2.4,2.6,2.2,2.7,Consumer Products Manufacturing,NY,15,2.3,78,6,Manufacture
7568,Zeekee Interactive,OK,3.2,3.3,2.9,3.1,3.4,Advertising & Marketing,AL,15,3,62,14,Advertising
7569,Pacific Life & Annuity,OK,3.2,2.8,3.9,2.5,3.7,Insurance Carriers,NE,15,3.1,0,0,Finance
7570,Fusion92,OK,3.4,2.9,2.9,2.9,2.7,Advertising & Marketing,IL,15,3.3,79,9,Advertising
7571,Broe,Dissatisfied,1.8,2.1,3,2.3,2.2,Rail,CO,15,1.9,22,12,Logistics
7572,Lookout,Very Satisfied,4.7,4.3,4,3.9,4.2,Computer Hardware & Software,CA,15,4.3,100,1,IT
7573,Caregivers Home Health Services,Satisfied,3.6,3.2,2.9,2.9,3.3,Health Care Services & Hospitals,CO,15,3.8,64,3,Health
7574,Adlucent,Very Satisfied,4.4,3.6,4.2,3.8,4.5,Advertising & Marketing,TX,15,4.2,82,10,Advertising
7575,LanceSoft,OK,2.9,3.2,2.8,2.8,3.3,IT Services,IL,15,3.2,88,8,IT
7576,Standard Calibrations,OK,3.8,3.3,3.4,3.6,3.3,Transportation Equipment Manufacturing,AL,15,3.2,100,1,Manufacture
7577,Teamsters,OK,2.8,2.6,4.5,2.7,3.1,Membership Organizations,CA,15,2.6,83,6,Others
7578,Rhodes College,Very Satisfied,4.2,3.8,3.6,3.4,4.1,Colleges & Universities,TN,15,4.2,81,10,Education
7579,Aviation Technical Services,OK,2.1,2.3,2.9,2.3,2.6,Transportation Management,WA,15,2.5,32,4,Logistics
7580,Symon Communications,OK,3,2.4,2.6,2.5,2.8,Computer Hardware & Software,TX,15,2.6,0,0,IT
7581,Florida Hospital Waterman,Dissatisfied,2.4,2,2,2.3,2.4,Health Care Services & Hospitals,FL,15,2.3,59,8,Health
7582,"Seapine Software, Inc.",OK,3.2,2.5,3.7,2.2,4.2,Computer Hardware & Software,OH,15,3,67,10,IT
7583,William Rainey Harper College,Satisfied,3.3,2.9,3.5,3.2,3.6,Advertising & Marketing,IL,15,3.5,47,4,Advertising
7584,Levy Phillips & Konigsberg,Dissatisfied,2.3,2.2,2.6,2.3,2.7,Legal,NY,15,2.4,0,1,Others
7585,Midwestern State,Satisfied,3.2,3.2,2.9,2.9,3.7,Colleges & Universities,TX,15,3.5,85,8,Education
7586,Valley Health System (New Jersey),Satisfied,4.2,3.4,3.7,3.5,3.3,Health Care Services & Hospitals,NJ,15,3.7,83,8,Health
7587,WellMed Medical Management,Satisfied,4.1,3.2,3.4,3.4,3.8,Health Care Services & Hospitals,TX,15,3.6,100,7,Health
7588,Workforce One Employment Solutions,OK,2.6,2.3,2.4,2.3,3.3,Staffing & Outsourcing,FL,15,2.6,38,8,Service
7589,Mesa,OK,2.8,2.2,3.6,2.7,3.2,Municipal Governments,AZ,15,2.5,60,4,Government
7590,E-Z-GO,OK,2.9,2.9,3.4,3,3.2,Transportation Equipment Manufacturing,GA,15,3,56,10,Manufacture
7591,Solvay Pharmaceuticals,Satisfied,4.5,3.3,4.2,3.8,4.2,Biotech & Pharmaceuticals,GA,15,4,100,8,Health
7592,Microage,OK,3.5,3,3.5,2.7,3.5,Wholesale,AZ,15,3.4,62,10,Retail
7593,Pacific Bridge Medical,OK,2.6,2.5,2.5,3,3.4,Health Care Services & Hospitals,MD,15,3,67,6,Health
7594,Cozen O Connor,OK,2.8,2.9,3,3.4,3,Legal,PA,15,3.3,71,3,Others
7595,Joe Brown Company,Very Satisfied,4.5,4.5,4.7,4.5,3.8,Trucking,OK,15,4.1,76,9,Logistics
7596,St. Petersburg Times,OK,4.3,3,2.9,2.8,3.6,Publishing,FL,15,3.2,100,4,Media
7597,City Holding,OK,0,3.1,2.9,2.7,3.4,Banks & Credit Unions,CA,15,2.9,0,0,Finance
7598,Consolidated Communications,OK,3,2.6,3.3,2.3,3.2,"Cable, Internet & Telephone Providers",CA,15,2.8,58,7,IT
7599,Communications Test Design,Dissatisfied,2.3,2,3,2,2.9,Wholesale,PA,15,2.2,0,5,Retail
7600,ValueClick Brands,Dissatisfied,1.4,1.6,2.8,1.8,3.2,Advertising & Marketing,CA,15,1.8,0,2,Advertising
7601,Norvax,OK,2.4,2.5,2.4,2.6,3.2,Computer Hardware & Software,IL,15,2.5,31,4,IT
7602,Spectrum Athletic Clubs,OK,2.1,2.4,2.4,2.1,2.2,Education Training Services,CA,15,2.6,0,3,Education
7603,"DAI (Redmond, WA)",Satisfied,3.6,3.6,3.9,3.6,3.2,IT Services,MD,15,4,80,6,IT
7604,Saint Francis Health System,OK,3.6,2.9,3.6,3.7,3.4,Health Care Services & Hospitals,OK,15,3.3,47,6,Health
7605,Otto Bock HealthCare,OK,3.9,2.3,3.3,2.1,2.6,Health Care Products Manufacturing,MN,15,3.1,81,6,Health
7606,Integware,Satisfied,4.3,3.5,3.9,3.3,3.8,Advertising & Marketing,CO,15,3.9,100,5,Advertising
7607,Sysmex America,Satisfied,3.7,3.1,3.9,3.2,3.5,Health Care Products Manufacturing,IL,15,3.6,81,10,Health
7608,Velir Studios,OK,3.4,2.8,3.5,3.4,3.2,IT Services,MA,15,3.1,56,14,IT
7609,Affiniscape,OK,3.2,1.6,3.1,2.1,3.7,Enterprise Software & Network Solutions,TX,15,2.6,0,0,IT
7610,NeuroRestorative,Dissatisfied,2.4,1.8,2,2.3,1.8,Health Care Services & Hospitals,TX,15,2.3,44,5,Health
7611,Cumberland Consulting Group,Satisfied,4.1,4,4.2,3.4,3.3,Accounting,TN,15,3.9,100,6,Accounting
7612,United Fire & Casualty,OK,3,2.5,2.5,2.3,2.9,Insurance Carriers,TX,15,2.6,60,11,Finance
7613,Brookhaven Memorial Hospital Medical Center,OK,2.5,2.7,3.4,3.1,3,Health Care Services & Hospitals,NY,15,2.8,0,1,Health
7614,Comedy Central,Satisfied,4.1,3.5,2.9,3,4.2,TV Broadcast & Cable Networks,NY,15,3.7,100,9,Media
7615,Diversified Investment Advisors,Satisfied,4,3.6,3.3,3.1,4,Investment Banking & Asset Management,NY,15,3.8,100,8,Finance
7616,Fujitsu Computer Systems,OK,3.4,2.7,2.9,2.6,3.3,Computer Hardware & Software,CA,15,3.1,39,3,IT
7617,InnLink,OK,3.4,3,2.3,3.1,3.6,Enterprise Software & Network Solutions,TN,15,3.2,80,5,IT
7618,Alliant Lake City Small Caliber Ammunition,Dissatisfied,1.7,1.4,3.2,2,1.9,Consumer Products Manufacturing,MO,15,1.5,19,14,Manufacture
7619,Bank of the Ozarks,Dissatisfied,2.2,2.1,2.4,2.5,3.1,Banks & Credit Unions,AR,15,2.2,56,7,Finance
7620,Ask Staffing,OK,2.9,2.8,2.8,3.2,3,Staffing & Outsourcing,GA,15,3,68,9,Service
7621,Seminole Tribe of Florida,Dissatisfied,2.2,1.8,2.9,2.1,2.6,Gambling,FL,15,2.3,42,7,Entertainment
7622,Flex-N-Gate,OK,2.9,2.9,3.8,3,3.4,Transportation Equipment Manufacturing,AL,15,3.2,100,8,Manufacture
7623,Ames True Temper,OK,2.9,2.6,3.3,2.7,2.9,Consumer Products Manufacturing,PA,15,3,0,0,Manufacture
7624,Portico Staffing,Very Satisfied,4.3,4.3,4.1,4.4,4.4,Staffing & Outsourcing,IA,15,4.5,100,13,Service
7625,Alliant Technologies,OK,3,2.7,2.3,2.8,2.7,Consulting,NJ,15,2.9,70,7,Service
7626,Vantage Data Centers,Satisfied,4,4,4,4,3.7,Wholesale,WA,15,4,100,10,Retail
7627,John H. Stroger Jr. Hospital,Very Satisfied,3.8,3.3,4.1,3.7,4,Health Care Services & Hospitals,IL,15,4.1,58,7,Health
7628,The Weinstein Company LLC,OK,2.7,2.6,2.7,3.3,2.9,Motion Picture Production & Distribution,NY,15,3.2,87,5,Media
7629,Evans Analytical Group,OK,2.3,2.2,2.5,2.1,2.9,Advertising & Marketing,CA,15,2.5,36,3,Advertising
7630,JCSI,Dissatisfied,2.6,2.4,2.2,2.1,3.8,Staffing & Outsourcing,MA,15,2.4,28,7,Service
7631,University of New Haven,OK,3.5,2.8,3.7,3.2,3.1,Colleges & Universities,CT,15,3.2,79,10,Education
7632,Dollywood,OK,3.7,2.7,3.5,2.9,3,"Museums, Zoos & Amusement Parks",TN,15,3.3,90,9,Entertainment
7633,Forever Resorts,OK,3.3,2.7,2.5,2.5,2.7,"Hotels, Motels, & Resorts",AZ,15,2.8,51,4,Service
7634,NxStage,Satisfied,4,3.4,4,3.6,3.7,Health Care Products Manufacturing,MA,15,3.8,75,11,Health
7635,High 5 Games,OK,2.1,1.6,2.8,2.1,2.9,Gambling,NY,15,2.5,39,14,Entertainment
7636,"MindTouch, Inc.",OK,3.3,2.7,2.8,3.3,3.9,Computer Hardware & Software,CA,15,3.4,73,6,IT
7637,Kontera Technologies,OK,3.2,3,3.7,2.8,3.5,Computer Hardware & Software,CA,15,3.1,52,2,IT
7638,Chet Holmes International,OK,2.6,2.6,2.6,2.7,3.4,Accounting,OR,15,2.7,50,4,Accounting
7639,SK+G,OK,2.9,2.4,2.6,2.5,3.3,Advertising & Marketing,NV,15,2.6,23,4,Advertising
7640,Delta Systems,OK,2,1.8,2.8,2.1,3.1,Electrical & Electronic Manufacturing,OH,15,2.5,19,10,Manufacture
7641,The Reserves Network,Dissatisfied,2.5,2.4,2.4,2.4,2.2,Staffing & Outsourcing,PA,15,2.3,36,8,Service
7642,UW Medical Foundation,Satisfied,3,3.2,3.5,3.7,3.3,Health Care Services & Hospitals,WI,15,3.7,100,8,Health
7643,United Concordia,Satisfied,3.4,3.4,3.9,3.1,3.6,Insurance Carriers,PA,15,3.6,100,3,Finance
7644,Piping Technology & Products,Dissatisfied,1.8,2.1,2,2.2,2.2,Industrial Manufacturing,TX,15,2.3,28,12,Manufacture
7645,Rightpoint,Very Satisfied,4.3,4.3,4.3,4.1,4,IT Services,IL,15,4.1,90,10,IT
7646,Blue Cross and Blue Shield of Kansas City,Satisfied,3.2,2.8,3.9,3,3.9,Insurance Carriers,MO,15,3.5,50,6,Finance
7647,Latista Technologies,Very Satisfied,4.7,4.4,3.7,4.1,4.4,Computer Hardware & Software,VA,15,4.5,100,7,IT
7648,Idera Software,OK,2.4,2.2,2.9,2,3.1,Computer Hardware & Software,TX,15,2.5,25,4,IT
7649,Teleservices Direct,OK,2.1,2.6,2.5,2.5,3.3,Advertising & Marketing,IN,15,2.7,76,4,Advertising
7650,ViaWest,OK,2.5,2.3,3,2.4,2.9,IT Services,CO,15,2.7,82,4,IT
7651,Thompson Creek Window Co.,Satisfied,3.6,3.5,3.9,3.5,3.6,Wholesale,MD,15,3.5,65,6,Retail
7652,TFM,Very Satisfied,4.8,4.8,4.6,4.7,4.6,Trucking,NV,15,4.8,100,14,Logistics
7653,St. Jude Medical Center,Satisfied,3.5,3,3.7,2.9,3.1,Health Care Services & Hospitals,CA,15,3.6,100,8,Health
7654,Exelis,OK,2.8,2.2,3.5,2.7,3.2,Computer Hardware & Software,VA,15,3,25,8,IT
7655,NCCI Holdings,Satisfied,3,3.1,3.9,3,3.8,Insurance Carriers,FL,15,3.6,72,15,Finance
7656,National Restaurant Association,Satisfied,4.1,3.4,4.1,3.3,4.2,Membership Organizations,IL,15,3.9,100,9,Others
