,employer,rating_description,culture,leadership,compensation,opportunity,balance,industry,location,size,overall_rating,ceo_approval,num_votes,main industry
190,McKesson,OK,3.4,2.9,3.4,3.1,3.4,Wholesale,TX,575,3.4,73,318,Retail
191,US Department of Veterans Affairs,OK,3,2.6,3.8,3.1,3.6,Federal Agencies,GA,574,3.2,78,15,Government
192,U.S. Cellular,OK,3.4,2.7,3.8,3,3,"Cable, Internet & Telephone Providers",WI,572,3.2,55,119,IT
193,Chili's,OK,3.3,3.1,3.1,3,3.2,Casual Restaurants,AL,569,3.3,79,40,Service
194,Eli Lilly,Satisfied,3.7,3.1,3.7,3.1,3.9,Biotech & Pharmaceuticals,IN,569,3.7,81,381,Health
195,Cummins,Satisfied,3.9,3.3,3.3,3.7,3.6,Transportation Equipment Manufacturing,IN,564,3.7,87,273,Manufacture
196,Thermo Fisher Scientific,OK,2.9,2.7,3.3,2.8,3,Biotech & Pharmaceuticals,NY,556,3,69,264,Health
197,The Children's Place,Dissatisfied,2.2,2,2.6,2.4,2.3,"Department, Clothing, & Shoe Stores",CO,556,2.2,25,257,Retail
198,John Deere,Satisfied,4,3.4,3.7,3.4,3.9,Industrial Manufacturing,IL,553,3.8,91,285,Manufacture
199,WellPoint,OK,3.3,2.8,3.6,3.1,3.3,Insurance Carriers,CO,551,3.3,85,88,Finance
200,Quest Diagnostics,OK,2.6,2.3,3.2,2.6,2.8,Health Care Services & Hospitals,OH,551,2.9,41,189,Health
201,Cracker Barrel,OK,3.3,2.8,3.1,3,2.8,Casual Restaurants,AZ,550,3.1,68,159,Service
202,Quintiles,OK,3.2,2.6,3.2,3,3,Biotech & Pharmaceuticals,KS,547,3.2,54,184,Health
203,CBRE,Satisfied,3.5,3.1,3.2,3.4,3.5,Real Estate,MN,546,3.5,83,140,Real Estate
204,US Department of Defense,Satisfied,3.6,3.1,3.9,3.6,3.7,Aerospace & Defense,KS,543,3.7,68,93,Manufacture
205,ITT Technical Institute,Dissatisfied,2.1,2,2.4,2.2,2.5,Colleges & Universities,TN,534,2.3,17,278,Education
206,GNC,OK,2.4,2.3,2.6,2.7,3.1,"Department, Clothing, & Shoe Stores",KY,533,2.8,74,23,Retail
207,Discover,Satisfied,3.9,3.3,3.6,3.4,3.8,Lending,IL,531,3.7,85,261,Finance
208,Harvard University,Very Satisfied,4,3.5,3.8,3.6,3.8,Colleges & Universities,MA,526,4.1,94,231,Education
209,Northern Trust,OK,3.6,2.9,2.8,3,3.7,Banks & Credit Unions,IL,523,3.3,85,300,Finance
210,AlliedBarton,OK,2.7,2.3,2.4,2.6,2.8,Advertising & Marketing,SC,523,2.7,50,228,Advertising
211,24 Hour Fitness,OK,3.2,2.6,2.6,3.1,3.1,Sports & Recreation,CA,520,3.1,59,75,Entertainment
212,University of Minnesota,Very Satisfied,4,3.6,3.5,3.4,4,Colleges & Universities,MN,519,4.1,94,174,Education
213,Coach,Satisfied,3.5,3.1,3.7,2.9,3.3,Consumer Products Manufacturing,MO,516,3.5,87,48,Manufacture
214,Cargill,OK,3.8,2.9,3.3,3.4,3.4,Food Production,MN,512,3.4,87,334,Retail
215,Frontier Communications,OK,2.9,2.6,3.4,2.8,2.9,"Cable, Internet & Telephone Providers",NY,509,2.9,46,386,IT
216,Massage Envy,OK,3,2.5,2.4,2.6,3.1,"Health, Beauty, & Fitness",FL,507,2.9,58,103,Service
217,Chrysler,OK,3.1,3,3.5,3.3,3,Transportation Equipment Manufacturing,MI,506,3.3,88,276,Manufacture
218,Micron Technology,OK,3.1,2.8,3.4,2.9,3,Electrical & Electronic Manufacturing,VA,506,3.2,77,200,Manufacture
219,Avanade,Satisfied,3.5,3,3.4,3.4,3,IT Services,IL,504,3.5,76,273,IT
220,General Dynamics Information Technology,OK,3,2.7,3.2,2.9,3.2,IT Services,UT,503,3.1,65,167,IT
221,CROSSMARK,OK,2.7,2.5,2.6,2.6,3.2,Advertising & Marketing,MA,502,2.9,53,51,Advertising
222,Papa John's,OK,2.8,2.6,2.3,2.6,3,Fast-Food & Quick-Service Restaurants,CA,502,2.9,46,247,Service
223,Purdue University,Very Satisfied,4,3.6,3.5,3.8,3.9,Colleges & Universities,IN,501,4.2,81,128,Education
